russian,english
"Если у вас есть Героическое вдохновение, вы можете израсходовать его, чтобы немедленно перебросить любой кубик после его броска.","If you have Heroic Inspiration, you can expend it to reroll any die immediately after rolling it."
Адреналиновая буря,Adrenaline Rush
"Вы можете принять действие Рывок как бонусное действие. Когда вы так делаете, вы получаете временные ОЗ, равные вашему бонусу умения.

Вы можете использовать эту особенность количество раз, равное вашему бонусу умения, и восстанавливаете все израсходованные применения, когда заканчиваете короткий или долгий отдых.","You can take the Dash action as a Bonus Action. When you do so, you gain a number of Temporary Hit Points equal to your Proficiency Bonus.

You can use this trait a number of times equal to your Proficiency Bonus, and you regain all expended uses when you finish a Short or Long Rest."
"Вы получаете временные ОЗ, равные вашему бонусу умения.",You gain a number of Temporary Hit Points equal to your Proficiency Bonus.
"Вы можете принять действие Рывок как бонусное действие. Когда вы так делаете, вы получаете временные ОЗ, равные вашему бонусу умения.","You can take the Dash action as a Bonus Action. When you do so, you gain a number of Temporary Hit Points equal to your Proficiency Bonus."
Фокус высокого эльфа,High Elf Cantrip
"Вы можете изменить свой фокус, выбрав другой из списка заклинаний волшебника ниже. Этот фокус использует ячейки заклинаний и может накладываться по желанию.","You may change your cantrip by selecting another one from the Wizard spell list below. This cantrip doesn't use <LSTag Tooltip=""SpellSlot"">spell slots</LSTag> and can be cast at will."
Уровень 3: Благословение Тёмного Владыки,Level 3: Dark One’s Blessing
"Когда вы сокращаете врага до 0 ОЗ, вы получаете временные ОЗ, равные вашему модификатору Харизмы плюс уровень вашего колдуна (минимум 1 временное ОЗ). Вы также получаете эту выгоду, если кто-то другой сокращает врага в пределах 10 футов от вас до 0 ОЗ.","When you reduce an enemy to 0 Hit Points, you gain Temporary Hit Points equal to your Charisma modifier plus your Warlock level (minimum of 1 Temporary Hit Point). You also gain this benefit if someone else reduces an enemy within 10 feet of you to 0 Hit Points."
Благословение Тёмного Владыки,Dark One’s Blessing
"Если существо в пределах 10 футов от вас сокращено до 0 ОЗ кем-то другим, кроме вас, вы получаете временные ОЗ, равные вашему модификатору Харизмы плюс уровень вашего колдуна (минимум 1 временное ОЗ).","If a creature within 10 feet of you is reduced to 0 Hit Points by someone other than you, you gain Temporary Hit Points equal to your Charisma modifier plus your Warlock level (minimum of 1 Temporary Hit Point)."
Уровень 6: Удача Тёмного Владыки,Level 6: Dark One’s Own Luck
Уровень 10: Адская стойкость,Level 10: Fiendish Resilience
Уровень 3: Предвестник смерти,Level 3: Mortal Reminder
Уровень 6: Хаосный щит,Level 6: Entropic Ward
Уровень 10: Щит мысли,Level 10: Thought Shield
"Ваши мысли нельзя прочитать с помощью телепатии или другими способами, если вы этого не разрешаете. У вас также есть Сопротивление психическому урону, и когда существо наносит вам психический урон, это существо получает такой же урон, который получаете вы.","Your thoughts can’t be read by telepathy or other means unless you allow it. You also have Resistance to Psychic damage, and whenever a creature deals Psychic damage to you, that creature takes the same amount of damage that you take."
"Как реакцию вы можете наложить помеху на бросок атаки против вас.<br><br>Если атака промахивается, вы получаете преимущество на свой следующий бросок атаки по своему атакующему в течение 1 хода.<br><br>После использования этой особенности вы не можете использовать её снова, пока не закончите короткий или долгий отдых, если вы не расходуете ячейку заклинания пактовой магии (действие не требуется) для восстановления её использования.","As a reaction, you can impose <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against you.<br><br>If the attack misses, you gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on your next Attack Roll against your attacker for 1 turn.<br><br>Once you use this feature, you can’t use it again until you finish a Short or Long Rest unless you expend a Pact Magic spell slot (no action required) to restore your use of it."
Уровень 10: Потусторонний сглаз,Level 10: Eldritch Hex
"Ваш инопланетный покровитель дарует вам мощное проклятие. У вас всегда приготовлено заклинание Сглаз. Когда вы накладываете Сглаз и выбираете характеристику, у цели также есть помеха на испытания выбранной характеристики на протяжении действия заклинания.","Your alien patron grants you a powerful curse. You always have the Hex spell prepared. When you cast Hex and choose an ability, the target also has Disadvantage on saving throws of the chosen ability for the duration of the spell."
Потусторонний сглаз: Сила,Eldritch Hexed: Strength
Существо получает дополнительный [1] от заклинателя. У него также есть помеха на проверки характеристики Сила и испытания.,"The creature suffers an additional [1] from the spellcaster. It also has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Strength <LSTag Tooltip=""AbilityCheck"">Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Потусторонний сглаз: Ловкость,Eldritch Hexed: Dexterity
Существо получает дополнительный [1] от заклинателя. У него также есть помеха на проверки характеристики Ловкость и испытания.,"The creature suffers an additional [1] from the spellcaster. It also has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Dexterity <LSTag Tooltip=""AbilityCheck"">Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Потусторонний сглаз: Телосложение,Eldritch Hexed: Constitution
Существо получает дополнительный [1] от заклинателя. У него также есть помеха на проверки характеристики Телосложение и испытания.,"The creature suffers an additional [1] from the spellcaster. It also has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Constitution <LSTag Tooltip=""AbilityCheck"">Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Потусторонний сглаз: Интеллект,Eldritch Hexed: Intelligence
Существо получает дополнительный [1] от заклинателя. У него также есть помеха на проверки характеристики Интеллект и испытания.,"The creature suffers an additional [1] from the spellcaster. It also has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Intelligence <LSTag Tooltip=""AbilityCheck"">Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Потусторонний сглаз: Мудрость,Eldritch Hexed: Wisdom
Существо получает дополнительный [1] от заклинателя. У него также есть помеха на проверки характеристики Мудрость и испытания.,"The creature suffers an additional [1] from the spellcaster. It also has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Wisdom <LSTag Tooltip=""AbilityCheck"">Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Потусторонний сглаз: Харизма,Eldritch Hexed: Charisma
Существо получает дополнительный [1] от заклинателя. У него также есть помеха на проверки характеристики Харизма и испытания.,"The creature suffers an additional [1] from the spellcaster. It also has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Charisma <LSTag Tooltip=""AbilityCheck"">Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Уровень 10: Иллюзорная самость,Level 10: Illusory Self
"Когда существо бросает атаку по вам, вы можете использовать реакцию, чтобы встать между атакующим и вами иллюзорное дубликат. Эта атака автоматически промахивается, затем иллюзия рассеивается.<br><br>После использования этой особенности вы не можете использовать её снова, пока не закончите короткий или долгий отдых. Вы также можете восстановить использование, если расходуете ячейку заклинания 2+ уровня.","When a creature hits you with an attack roll, you can take a Reaction to interpose an illusory duplicate of yourself between the attacker and yourself. The attack automatically misses you, then the illusion dissipates.<br><br>Once you use this feature, you can’t use it again until you finish a Short or Long Rest. You can also restore your use of it by expending a level 2+ spell slot."
Кости хитов: D6,Hit Point Dice: D6
Вы можете расходовать кости хитов для восстановления ОЗ.,You can spend Hit Dice to regain Hit Points.
Кости хитов: D8,Hit Point Dice: D8
Кости хитов: D10,Hit Point Dice: D10
Кости хитов: D12,Hit Point Dice: D12
Использовать кости хитов,Use Hit Point Dice
Использовать кости хитов: D6,Use Hit Point Dice: D6
Использовать кости хитов: D8,Use Hit Point Dice: D8
Использовать кости хитов: D10,Use Hit Point Dice: D10
Использовать кости хитов: D12,Use Hit Point Dice: D12
Правило: Кости хитов,Rule: Hit Point Dice
Описание вашего класса указывает на тип кубика для костей хитов вашего персонажа (или коротко кости хитов). На уровне 1 у вас есть 1 кость хитов. Вы можете расходовать кости хитов для восстановления ОЗ.,"Your class’s description tells you the die type of your character’s Hit Point Dice (or Hit Dice for short). At level 1, your character has 1 Hit Die. You can spend Hit Dice to recover Hit Points."
Героическое вдохновение: Перевыброс с преимуществом (Испытание),Heroic Inspiration: Reroll with Advantage (Saving Throw)
"Получите <LSTag Tooltip=""Преимущество"">Преимущество</LSTag> на своём <LSTag Tooltip=""Испытание"">Испытании</LSTag>.","Gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on your <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag>."
Пресечение,Interception
"Когда существо, которое вы видите, наносит удар другому существу в пределах 5 футов от вас броском атаки, вы можете использовать реакцию, чтобы уменьшить урон, нанесенный цели, на 1d10 плюс ваш бонус умения. Вы должны держать Щит или простое или воинское оружие, чтобы использовать эту реакцию.","When a creature you can see hits another creature within 5 feet of you with an attack roll, you can take a Reaction to reduce the damage dealt to the target by 1d10 plus your Proficiency Bonus. You must be holding a Shield or a Simple or Martial weapon to use this Reaction."
"Когда вы лечите другое существо, оно получает следующий эффект: когда существо совершает бросок атаки против него до конца действия заклинания, атакующий вычитает 1d4 из броска.","When you heal another creature, it gains the following effect: whenever a creature makes an attack roll against it before the spell ends, the attacker subtracts 1d4 from the roll."
Драконья живучесть: ОЗ,Draconic Resilience: Hit Points
"Ваш максимум <LSTag Tooltip=""ОЗ"">ОЗ</LSTag> увеличивается на 1 за каждый уровень чародея.","Your <LSTag Tooltip=""HitPoints"">hit point</LSTag> maximum increases by 1 for each Sorcerer level."
"Когда вы воодушевляете союзника, используя <LSTag Type=""Заклинание"" Tooltip=""Цель_БардовскоеВдохновение"">Бардовское вдохновение</LSTag>, вы получаете [1], равное уровню барда.","When you inspire an ally using <LSTag Type=""Spell"" Tooltip=""Target_BardicInspiration"">Bardic Inspiration</LSTag>, you gain [1], equal to your Bard level."
"Когда вы воодушевляете союзника, используя <LSTag Type=""Заклинание"" Tooltip=""Цель_БардовскоеВдохновение"">Бардовское вдохновение</LSTag>, он также восстанавливает [1], равное результату вашего Заряда Бардовского вдохновения.","When you inspire an ally using <LSTag Type=""Spell"" Tooltip=""Target_BardicInspiration"">Bardic Inspiration</LSTag>, they also regain [1], equal to the result of your Bardic Inspiration die."
"Нечистые существа, попадающие по носителю, получают [1]. Звери, попадающие по носителю, становятся <LSTag Type=""Статус"" Tooltip=""Очарованный"">Очарованными</LSTag>.","Undead creatures that hit the wearer take [1]. Beasts that hit the wearer become <LSTag Type=""Status"" Tooltip=""CHARMED"">Charmed</LSTag>."
"Заклинание заканчивается, если вы падаете до 0 ОЗ. Оно также заканчивается, если заклинание накладывается снова на одно из связанных существ. Заклинание остаётся в силе только пока вы и цель находитесь в пределах 60 футов друг от друга.",The spell ends if you drop to 0 Hit Points. It also ends if the spell is cast again on either of the connected creatures. The spell remains in effect only while you and the target are within 60 feet of each other.
Черта: Затронутый феями,Feat: Fey Touched
Выберите одно заклинание 1-го уровня из школы Предсказание или Прорицание. У вас всегда есть это заклинание и Туманный шаг приготовленными. Вы также получаете одну ячейку заклинания 1-го уровня и одну ячейку заклинания 2-го уровня.,Choose one 1st-level spell from the Divination or Enchantment school. You always have that spell and Misty Step prepared. You also gain one 1st-level spell slot and one 2nd-level spell slot.
Черта: Затронутый тенью,Feat: Shadow Touched
Выберите одно заклинание 1-го уровня из школы Иллюзия или Некромантия. У вас всегда есть это заклинание и Невидимость приготовленными. Вы также получаете одну ячейку заклинания 1-го уровня и одну ячейку заклинания 2-го уровня.,Choose one 1st-level spell from the Illusion or Necromancy school. You always have that spell and Invisibility prepared. You also gain one 1st-level spell slot and one 2nd-level spell slot.
Затронутый феями,Fey Touched
Затронутый тенью,Shadow Touched
Черта: Воодушевляющий лидер,Feat: Inspiring Leader
"Когда вы заканчиваете короткий или долгий отдых, вы можете дать воодушевляющее представление: речь, песня или танец. Вы можете использовать эту особенность один раз за короткий отдых. Когда вы так делаете, каждый союзник в пределах 30 футов от вас получает временные ОЗ, равные уровню вашего персонажа плюс ваш бонус умения.","When you finish a Short or Long Rest, you can give an inspiring performance: a speech, song, or dance. You can use this feature once per Short Rest. When you do so, each ally within 30 feet of you gains Temporary Hit Points equal to your character level plus your Proficiency Bonus."
Воодушевляющий лидер,Inspiring Leader
"Получите временные ОЗ, равные уровню заклинателя плюс его бонус умения.",Gain Temporary Hit Points equal to the spellcaster’s level plus their Proficiency Bonus.
Черта: Эксперт мастерства,Feat: Skill Expert
"Умение в мастерстве. Вы получаете умение в одном навыке на ваш выбор.

Мастерство. Выберите один навык, в котором у вас есть умение, но нет Мастерства. Вы получаете Мастерство с этим навыком.","Skill Proficiency. You gain proficiency in one skill of your choice.

Expertise. Choose one skill in which you have proficiency but lack Expertise. You gain Expertise with that skill."
Эксперт мастерства,Skill Expert
Черта: Проныра,Feat: Skulker
"Слепозрение. У вас есть Слепозрение с радиусом 10 футов.

Туман войны. КД для того чтобы стать Невидимым, когда вы принимаете действие Спрятаться, равно 15, а не 20.","Blindsight. You have Blindsight with a range of 10 feet.

Fog of War. The DC to become Invisible when you take the Hide action is 15 instead of 20."
Проныра,Skulker
Горящий клинок,Flame Blade
"Эфирный скомитар, созданный из живой пламени.",An ethereal scimitar made of living fire.
Получите преимущества короткого отдыха.,Gain the benefits of a Short Rest.
"Когда вы используете заклинания Возмездие, вы получаете <LSTag Tooltip=""ВременныеОЗ"">временные ОЗ</LSTag>, равные вашему модификатору <LSTag Tooltip=""МодификаторХарактеристики"">Харизмы</LSTag>.","When you use Smite spells, you gain <LSTag Tooltip=""TemporaryHitPoints"">temporary hit points</LSTag> equal to your Charisma <LSTag Tooltip=""AbilityModifier"">Modifier</LSTag>."
Черта: Драконий Ужас,Feat: Dragon Fear
"Вы получаете одно использование своего Драконьего дыхания.<br><br>Вы можете затратить одно использование своего Драконьего дыхания, чтобы зарычать, заставляя каждое существо по вашему выбору в пределах 30 футов от вас совершить испытание Мудрости. При провале испытания цель получает состояние Испуганный относительно вас на 1 минуту.","You gain one use of your Breath Weapon.<br><br>You can expend one use of your Breath Weapon to roar, forcing each creature of your choice within 30 feet of you to make a Wisdom saving throw. On a failed save, a target becomes frightened of you for 1 minute."
Драконий Ужас,Dragon Fear
"Вы можете затратить одно использование своего Драконьего дыхания, чтобы зарычать, заставляя каждое существо по вашему выбору в пределах 30 футов от вас совершить испытание Мудрости. При провале испытания цель получает состояние Испуганный относительно вас на 1 минуту.","You can expend one use of your Breath Weapon to roar, forcing each creature of your choice within 30 feet of you to make a Wisdom saving throw. On a failed save, a target becomes frightened of you for 1 minute."
"Требование: драконорождённый<br><br>Когда вы разгневаны, вы можете излучать мрачное присутствие.<br><br>Вы получаете одно использование своего Драконьего дыхания.<br><br>Вы можете затратить одно использование своего Драконьего дыхания, чтобы зарычать, заставляя каждое существо по вашему выбору в пределах 30 футов от вас совершить испытание Мудрости. При провале испытания цель получает состояние Испуганный относительно вас на 1 минуту.","Prerequisite: Dragonborn<br><br>When angered, you can radiate menace.<br><br>You gain one use of your Breath Weapon.<br><br>You can expend one use of your Breath Weapon to roar, forcing each creature of your choice within 30 feet of you to make a Wisdom saving throw. On a failed save, a target becomes frightened of you for 1 minute."
Руководство Заксара во всём,Xanathar's Guide to Everything
Драконья кожа,Dragon Hide
"Требование: драконорождённый<br><br>Вы обретаете чешую и когти, напоминающие ваших драконьих предков.<br><br>Ваша чешуя твердеет. Пока вы не носите броню, вы можете рассчитать свой КБ как 13 + ваш модификатор Ловкости. Вы можете использовать Щит и всё равно получать это преимущество.<br><br>У вас вырастают втяжные когти из кончиков пальцев. Вытягивание или втягивание когтей не требует действия. Когти — это естественное оружие, которое вы можете использовать для совершения безоружных ударов. При попадании безоружным ударом этими когтями атака наносит дополнительный 1д4 колюще-режущий урон.","Prerequisite: Dragonborn<br><br>You manifest scales and claws reminiscent of your draconic ancestors.<br><br>Your scales harden. While you aren’t wearing armor, you can calculate your AC as 13 + your Dexterity modifier. You can use a shield and still gain this benefit.<br><br>You grow retractable claws from the tips of your fingers. Extending or retracting the claws requires no action. The claws are natural weapons, which you can use to make unarmed strikes. When you hit with an unarmed strike using these claws, the attack deals an additional 1d4 slashing damage."
Черта: Драконья кожа,Feat: Dragon Hide
"Ваша чешуя твердеет. Пока вы не носите броню, вы можете рассчитать свой КБ как 13 + ваш модификатор Ловкости. Вы можете использовать Щит и всё равно получать это преимущество.<br><br>У вас вырастают втяжные когти из кончиков пальцев. Вытягивание или втягивание когтей не требует действия. Когти — это естественное оружие, которое вы можете использовать для совершения безоружных ударов. При попадании безоружным ударом этими когтями атака наносит дополнительный 1д4 колюще-режущий урон.","Your scales harden. While you aren’t wearing armor, you can calculate your AC as 13 + your Dexterity modifier. You can use a shield and still gain this benefit.<br><br>You grow retractable claws from the tips of your fingers. Extending or retracting the claws requires no action. The claws are natural weapons, which you can use to make unarmed strikes. When you hit with an unarmed strike using these claws, the attack deals an additional 1d4 slashing damage."
Черта: Дварфийская выносливость,Feat: Dwarven Fortitude
"Когда вы совершаете действие Уклонение в бою, вы можете потратить одну кость хитов, чтобы исцелить себя. Бросьте кость, прибавьте модификатор Телосложения и восстановите число хитов, равное результату (минимум 1).","Whenever you take the Dodge action in combat, you can spend one Hit Die to heal yourself. Roll the die, add your Constitution modifier, and regain a number of hit points equal to the total (minimum of 1)."
Дварфийская выносливость,Dwarven Fortitude
"Требование: дварф<br><br>В ваших жилах течет кровь героев-дварфов.<br><br>Когда вы совершаете действие Уклонение в бою, вы можете потратить одну кость хитов, чтобы исцелить себя. Бросьте кость, прибавьте модификатор Телосложения и восстановите число хитов, равное результату (минимум 1).","Prerequisite: Dwarf<br><br>You have the blood of dwarf heroes flowing through your veins.<br><br>Whenever you take the Dodge action in combat, you can spend one Hit Die to heal yourself. Roll the die, add your Constitution modifier, and regain a number of hit points equal to the total (minimum of 1)."
Черта: Эльфийская точность,Feat: Elven Accuracy
"Когда у вас есть преимущество на бросок атаки с использованием Ловкости, Интеллекта, Мудрости или Харизмы, вы можете перебросить одну из костей один раз.","Whenever you have advantage on an attack roll using Dexterity, Intelligence, Wisdom, or Charisma, you can reroll one of the dice once."
Эльфийская точность,Elven Accuracy
"Требование: эльф или полуэльф<br><br>Точность эльфов легендарна, особенно эльфийских лучников и заклинателей. У вас есть поразительная меткость для атак, основанных на точности, а не на грубой силе.<br><br>Когда у вас есть преимущество на бросок атаки с использованием Ловкости, Интеллекта, Мудрости или Харизмы, вы можете перебросить одну из костей один раз.","Prerequisite: Elf or half-elf<br><br>The accuracy of elves is legendary, especially that of elf archers and spellcasters. You have uncanny aim with attacks that rely on precision rather than brute force.<br><br>Whenever you have advantage on an attack roll using Dexterity, Intelligence, Wisdom, or Charisma, you can reroll one of the dice once."
Черта: Исчезновение,Feat: Fade Away
"Немедленно после того, как вы получили урон, вы можете использовать реакцию, чтобы магическим образом стать Невидимым до конца вашего следующего хода или пока вы не атакуете, не нанесете урон или не заставите кого-то совершить испытание. Если вы использовали эту способность, вы не можете сделать этого снова, пока не завершите короткий или долгий отдых.","Immediately after you take damage, you can use a reaction to magically become invisible until the end of your next turn or until you attack, deal damage, or force someone to make a saving throw. Once you use this ability, you can’t do so again until you finish a short or long rest."
Исчезновение,Fade Away
"Требование: гном<br><br>Ваш народ умен и имеет к склонности к иллюзионной магии. Вы изучили магический трюк для исчезновения, когда страдаете от вреда.<br><br>Немедленно после того, как вы получили урон, вы можете использовать реакцию, чтобы магическим образом стать Невидимым до конца вашего следующего хода или пока вы не атакуете, не нанесете урон или не заставите кого-то совершить испытание. Если вы использовали эту способность, вы не можете сделать этого снова, пока не завершите короткий или долгий отдых.","Prerequisite: Gnome<br><br>Your people are clever, with a knack for illusion magic. You have learned a magical trick for fading away when you suffer harm.<br><br>Immediately after you take damage, you can use a reaction to magically become invisible until the end of your next turn or until you attack, deal damage, or force someone to make a saving throw. Once you use this ability, you can’t do so again until you finish a short or long rest."
Черта: Пламя Флегета,Feat: Flames of Phlegethos
"Когда вы бросаете кубики урона за заклинание, которое вы создаете, вы можете перебросить любые 1 на кубиках урона огнем.<br><br>Каждый раз, когда вы создаете заклинание, наносящее огненный урон, вы можете вызвать пламя, обволакивающее вас до конца вашего следующего хода. Пока это пламя присутствует, любое существо, которое попадает по вам рукопашной атакой, получает 1д4 огненного урона.","When you roll fire damage for a spell you cast, you can reroll any 1 on the fire damage dice.<br><br>Whenever you cast a spell that deals fire damage, you can cause flames to wreathe you until the end of your next turn. While these flames are present, any creature that hits you with a melee attack takes 1d4 fire damage."
Пламя Флегета,Flames of Phlegethos
"Каждый раз, когда вы создаете заклинание, наносящее огненный урон, вы можете вызвать пламя, обволакивающее вас до конца вашего следующего хода. Пока это пламя присутствует, любое существо, которое попадает по вам рукопашной атакой, получает 1д4 огненного урона.","Whenever you cast a spell that deals fire damage, you can cause flames to wreathe you until the end of your next turn. While these flames are present, any creature that hits you with a melee attack takes 1d4 fire damage."
"Требование: тифлинг<br><br>Вы научитесь призывать адский огонь для выполнения ваших приказов.<br><br>Когда вы бросаете кубики урона за заклинание, которое вы создаете, вы можете перебросить любые 1 на кубиках урона огнем.<br><br>Каждый раз, когда вы создаете заклинание, наносящее огненный урон, вы можете вызвать пламя, обволакивающее вас до конца вашего следующего хода. Пока это пламя присутствует, любое существо, которое попадает по вам рукопашной атакой, получает 1д4 огненного урона.","Prerequisite: Tiefling<br><br>You learn to call on hellfire to serve your commands.<br><br>When you roll fire damage for a spell you cast, you can reroll any 1 on the fire damage dice.<br><br>Whenever you cast a spell that deals fire damage, you can cause flames to wreathe you until the end of your next turn. While these flames are present, any creature that hits you with a melee attack takes 1d4 fire damage."
Черта: Адская выносливость,Feat: Infernal Constitution
"Вы обладаете сопротивлением урону от холода и урону от яда.<br>У вас есть преимущество на испытания, направленные против состояния Отравленный.","You have resistance to cold damage and poison damage.
You have advantage on saving throws against being poisoned."
Адская выносливость,Infernal Constitution
"Требование: тифлинг<br><br>В ваших жилах течет кровь падших, раскрывая устойчивость, подобную той, которой обладают некоторые падшие.<br><br>Вы обладаете сопротивлением урону от холода и урону от яда.<br>У вас есть преимущество на испытания против состояния Отравленный.","Prerequisite: Tiefling<br><br>Fiendish blood runs strong in you, unlocking a resilience akin to that possessed by some fiends.<br><br>You have resistance to cold damage and poison damage.
You have advantage on saving throws against being poisoned."
Черта: Орочий гнев,Feat: Orcish Fury
"Когда вы попадаете <LSTag Tooltip=""CriticalHit"">Критическим ударом</LSTag> с оружием рукопашной атаки, вы наносите дополнительную кость урона оружия.","When you land a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag> with a melee weapon attack, you deal an extra dice of weapon damage."
Орочий гнев,Orcish Fury
"Требование: полуорк<br><br>Когда вы попадаете с помощью рукопашного оружия <LSTag Tooltip=""CriticalHit"">Критическим ударом</LSTag>, вы наносите дополнительную кость урона оружия.","Prerequisite: Half-orc<br><br>When you land a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag> with a melee weapon attack, you deal an extra dice of weapon damage."
Приземистая ловкость,Squat Nimbleness
"Требование: дварф или раса малого роста<br><br>Вы необычайно ловки для вашей расы.<br><br>Увеличьте вашу скорость передвижения на 5 футов.<br>Вы получаете умение в навыке Акробатика или Атлетика (на ваш выбор).<br>У вас есть преимущество на любые проверки Сила (Атлетика) или Ловкость (Акробатика), которые вы делаете, чтобы выбраться из состояния Опутанный.","Prerequisite: Dwarf or a Small race<br><br>You are uncommonly nimble for your race.<br><br>Increase your walking speed by 5 feet.
You gain proficiency in the Acrobatics or Athletics skill (your choice).
You have advantage on any Strength (Athletics) or Dexterity (Acrobatics) check you make to escape from being restrained."
Черта: Приземистая ловкость,Feat: Squat Nimbleness
"Увеличьте вашу скорость передвижения на 5 футов.<br>Вы получаете умение в навыке Акробатика или Атлетика (на ваш выбор).<br>У вас есть преимущество на любые проверки Сила (Атлетика) или Ловкость (Акробатика), которые вы делаете, чтобы выбраться из состояния Опутанный.","Increase your walking speed by 5 feet.
You gain proficiency in the Acrobatics or Athletics skill (your choice).
You have advantage on any Strength (Athletics) or Dexterity (Acrobatics) check you make to escape from being restrained."
Мастер метамагии,Eldritch Adept
"Изучая оккультные тайны, вы изучите один вариант Призыва эфирного знания на ваш выбор из класса колдун. Если призыв имеет требование какого-либо вида, вы можете выбрать этот призыв только если вы колдун, отвечающий требованию.","Studying occult lore, you learn one Eldritch Invocation option of your choice from the warlock class. If the invocation has a prerequisite of any kind, you can choose that invocation only if you’re a warlock who meets the prerequisite."
Посвящённый в боевом искусстве,Fighting Initiate
Ваша боевая подготовка помогла вам развить определенную манеру боя. В результате вы изучаете один вариант Боевого стиля на ваш выбор из класса воин.,"Your martial training has helped you develop a particular style of fighting. As a result, you learn one Fighting Style option of your choice from the fighter class."
Мастер метамагии,Metamagic Adept
"Вы изучаете два варианта Метамагии на ваш выбор из класса чародей. Вы можете использовать только один вариант Метамагии на заклинание при его создании, если в опциях не указано иное.<br>Вы получаете 2 очка чародейства для использования в Метамагии (эти очки добавляются к любым очкам чародейства, которые у вас есть из другого источника, но они могут использоваться только для Метамагии). Вы восстанавливаете все потраченные очки, завершив долгий отдых.","You learn two Metamagic options of your choice from the sorcerer class. You can use only one Metamagic option on a spell when you cast it, unless the option says otherwise.
You gain 2 sorcery points to spend on Metamagic (these points are added to any sorcery points you have from another source but can be used only on Metamagic). You regain all spent sorcery points when you finish a long rest."
Ташка: котелок всего,Tasha’s Cauldron of Everything
Ужас дракона,Dragon's Terror
"Вы можете совершить действие Магия, чтобы вселить ужас в существо, которое вы видите в пределах 30 футов от себя. Цель должна успешно преодолеть испытание Мудрости или получить состояние Испуганный до конца вашего следующего хода.",You can take a Magic action to instill terror in a creature you can see within 30 feet of yourself. The target must succeed on a Wisdom saving throw or have the Frightened condition until the end of your next turn.
Черта: Посвящённый в культе дракона,Feat: Cult of the Dragon Initiate
"Ужас дракона. Вы можете совершить действие Магия, чтобы вселить ужас в существо, которое вы видите в пределах 30 футов от себя. Цель должна успешно преодолеть испытание Мудрости или получить состояние Испуганный до конца вашего следующего хода.<br><br>Дух Ужаса. Когда вы заставляете существо получить состояние Испуганный, и вы — источник его ужаса, вы получаете Героическое вдохновение. Если вы использовали эту способность, вы не можете сделать этого снова, пока не завершите короткий или долгий отдых.","Dragon's Terror. You can take a Magic action to instill terror in a creature you can see within 30 feet of yourself. The target must succeed on a Wisdom saving throw or have the Frightened condition until the end of your next turn.<br><br>Inspired by Fear. When you cause a creature to gain the Frightened condition and you are the source of its fear, you gain Heroic Inspiration. Once you use this benefit, you can’t use it again until you finish a Short or Long Rest."
